목표,밴드,R1,R2p,R3제외,실제Sharpe,실제MDD,실제CAGR,합성MDD,합성CAGR,c1_합성MDD>-60,c2_Sharpe>SOXX,c3_CAGR>현금,판정
0.3,0.15,0.85,-0.2,True,0.67,-32.8,15.4,-62.1,9.7,False,False,True,REJECT
0.3,0.15,0.85,-0.3,False,0.65,-37.6,16.0,-57.0,11.9,True,False,True,REJECT
0.3,0.15,0.85,-0.3,True,0.66,-37.6,16.2,-61.7,10.5,False,False,True,REJECT
0.3,0.15,0.85,-0.4,False,0.72,-36.0,17.6,-43.4,13.6,True,False,True,REJECT
0.3,0.15,0.85,-0.4,True,0.73,-35.9,17.6,-43.4,13.0,True,False,True,REJECT
0.3,0.15,0.85,-0.5,False,0.73,-38.2,17.6,-52.5,13.4,True,False,True,REJECT
0.3,0.15,0.85,-0.5,True,0.74,-33.2,18.1,-52.5,12.7,True,False,True,REJECT
0.3,0.15,1.0,-0.2,False,0.67,-32.8,15.4,-55.8,11.2,True,False,True,REJECT
0.3,0.15,1.0,-0.2,True,0.67,-32.8,15.4,-62.1,9.7,False,False,True,REJECT
0.3,0.15,1.0,-0.3,False,0.65,-37.6,16.0,-57.0,11.9,True,False,True,REJECT
0.3,0.15,1.0,-0.3,True,0.66,-37.6,16.2,-61.7,10.5,False,False,True,REJECT
0.3,0.15,1.0,-0.4,False,0.72,-36.0,17.6,-43.4,13.6,True,False,True,REJECT
0.3,0.15,1.0,-0.4,True,0.73,-35.9,17.6,-43.4,13.0,True,False,True,REJECT
0.3,0.15,1.0,-0.5,False,0.73,-38.2,17.6,-52.5,13.4,True,False,True,REJECT
0.3,0.15,1.0,-0.5,True,0.74,-33.2,18.1,-52.5,12.7,True,False,True,REJECT
0.3,0.2,0.6,-0.2,False,0.61,-35.3,14.1,-46.5,11.3,True,False,True,REJECT
